Description	
Number of Runs	1
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1200
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	0	10	04/03/25 01:29:17 PM	
2	720	225	10	04/03/25 01:29:46 PM	
3	740	3939	10	04/03/25 01:30:07 PM	
4	760	5616	10	04/03/25 01:30:23 PM	
5	780	6368	10	04/03/25 01:30:39 PM	
6	800	7177	10	04/03/25 01:31:01 PM	
7	820	7450	10	04/03/25 01:31:19 PM	
8	840	7906	10	04/03/25 01:31:37 PM	
9	860	8263	10	04/03/25 01:31:53 PM	
10	880	8725	10	04/03/25 01:32:14 PM	
11	900	9032	10	04/03/25 01:32:32 PM	
12	920	9377	10	04/03/25 01:32:49 PM	
13	940	9542	10	04/03/25 01:33:02 PM	
14	960	9944	10	04/03/25 01:33:19 PM	
15	980	10183	10	04/03/25 01:33:36 PM	
16	1000	10360	10	04/03/25 01:33:49 PM	
17	1020	10562	10	04/03/25 01:34:01 PM	
18	1040	10890	10	04/03/25 01:34:17 PM	
19	1060	11123	10	04/03/25 01:34:29 PM	
20	1080	11943	10	04/03/25 01:34:42 PM	
21	1100	12161	10	04/03/25 01:35:00 PM	
22	1120	12745	10	04/03/25 01:35:13 PM	
23	1140	13978	10	04/03/25 01:35:26 PM	
24	1160	14197	10	04/03/25 01:35:39 PM	
25	1180	14354	10	04/03/25 01:35:53 PM	
26	1200	14716	10	04/03/25 01:36:07 PM	
