Description	
Number of Runs	31
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	29	30	04/10/25 12:59:10 PM	
2	900	6843	30	04/10/25 01:02:37 PM	
3	900	5984	30	04/10/25 01:03:08 PM	
4	900	5365	30	04/10/25 01:03:38 PM	
5	900	4740	30	04/10/25 01:04:08 PM	
6	900	4308	30	04/10/25 01:04:39 PM	
7	900	3808	30	04/10/25 01:05:09 PM	
8	900	3360	30	04/10/25 01:05:40 PM	
9	900	2941	30	04/10/25 01:06:10 PM	
10	900	2642	30	04/10/25 01:06:40 PM	
11	900	2302	30	04/10/25 01:07:11 PM	
12	900	2059	30	04/10/25 01:07:41 PM	
13	900	1806	30	04/10/25 01:08:11 PM	
14	900	1581	30	04/10/25 01:08:42 PM	
15	900	1389	30	04/10/25 01:09:12 PM	
16	900	1206	30	04/10/25 01:09:43 PM	
17	900	1081	30	04/10/25 01:10:13 PM	
18	900	909	30	04/10/25 01:10:43 PM	
19	900	819	30	04/10/25 01:11:14 PM	
20	900	715	30	04/10/25 01:11:44 PM	
21	900	647	30	04/10/25 01:12:15 PM	
22	900	618	30	04/10/25 01:12:45 PM	
23	900	523	30	04/10/25 01:13:15 PM	
24	900	454	30	04/10/25 01:13:46 PM	
25	900	418	30	04/10/25 01:14:16 PM	
26	900	339	30	04/10/25 01:14:46 PM	
27	900	327	30	04/10/25 01:15:17 PM	
28	900	247	30	04/10/25 01:15:47 PM	
29	900	249	30	04/10/25 01:16:18 PM	
30	900	219	30	04/10/25 01:16:48 PM	
31	900	197	30	04/10/25 01:17:19 PM	
32	900	163	30	04/10/25 01:17:49 PM	
