Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	4	5	04/10/25 11:55:42 AM	
2	900	4	5	04/10/25 11:55:48 AM	
3	900	2	5	04/10/25 11:55:53 AM	
4	900	2	5	04/10/25 11:55:58 AM	
5	900	5	5	04/10/25 11:56:04 AM	
6	900	4	5	04/10/25 11:56:09 AM	
7	900	8	5	04/10/25 11:56:14 AM	
8	900	4	5	04/10/25 11:56:19 AM	
9	900	3	5	04/10/25 11:56:24 AM	
10	900	6	5	04/10/25 11:56:30 AM	
11	900	5	5	04/10/25 11:56:35 AM	
12	900	3	5	04/10/25 11:56:40 AM	
13	900	1	5	04/10/25 11:56:45 AM	
14	900	6	5	04/10/25 11:56:50 AM	
15	900	4	5	04/10/25 11:56:56 AM	
16	900	0	5	04/10/25 11:57:01 AM	
17	900	2	5	04/10/25 11:57:06 AM	
18	900	2	5	04/10/25 11:57:11 AM	
19	900	4	5	04/10/25 11:57:16 AM	
20	900	2	5	04/10/25 11:57:22 AM	
21	900	2	5	04/10/25 11:57:27 AM	
22	900	5	5	04/10/25 11:57:32 AM	
23	900	6	5	04/10/25 11:57:37 AM	
24	900	4	5	04/10/25 11:57:42 AM	
25	900	6	5	04/10/25 11:57:48 AM	
26	900	4	5	04/10/25 11:57:53 AM	
27	900	4	5	04/10/25 11:57:58 AM	
28	900	1	5	04/10/25 11:58:03 AM	
29	900	5	5	04/10/25 11:58:08 AM	
30	900	2	5	04/10/25 11:58:14 AM	
31	900	5	5	04/10/25 11:58:19 AM	
32	900	4	5	04/10/25 11:58:24 AM	
33	900	3	5	04/10/25 11:58:29 AM	
34	900	3	5	04/10/25 11:58:34 AM	
35	900	2	5	04/10/25 11:58:40 AM	
36	900	3	5	04/10/25 11:58:45 AM	
37	900	3	5	04/10/25 11:58:50 AM	
38	900	2	5	04/10/25 11:58:55 AM	
39	900	0	5	04/10/25 11:59:01 AM	
40	900	3	5	04/10/25 11:59:06 AM	
41	900	4	5	04/10/25 11:59:11 AM	
42	900	5	5	04/10/25 11:59:16 AM	
43	900	4	5	04/10/25 11:59:21 AM	
44	900	4	5	04/10/25 11:59:27 AM	
45	900	3	5	04/10/25 11:59:32 AM	
46	900	4	5	04/10/25 11:59:37 AM	
47	900	3	5	04/10/25 11:59:42 AM	
48	900	1	5	04/10/25 11:59:47 AM	
49	900	1	5	04/10/25 11:59:53 AM	
50	900	4	5	04/10/25 11:59:58 AM	
51	900	1	5	04/10/25 12:00:03 PM	
52	900	0	5	04/10/25 12:00:08 PM	
53	900	2	5	04/10/25 12:00:13 PM	
54	900	3	5	04/10/25 12:00:19 PM	
55	900	4	5	04/10/25 12:00:24 PM	
56	900	2	5	04/10/25 12:00:29 PM	
57	900	0	5	04/10/25 12:00:34 PM	
58	900	5	5	04/10/25 12:00:40 PM	
59	900	1	5	04/10/25 12:00:45 PM	
60	900	3	5	04/10/25 12:00:50 PM	
61	900	5	5	04/10/25 12:00:55 PM	
62	900	3	5	04/10/25 12:01:00 PM	
63	900	4	5	04/10/25 12:01:06 PM	
64	900	5	5	04/10/25 12:01:11 PM	
65	900	5	5	04/10/25 12:01:16 PM	
66	900	5	5	04/10/25 12:01:21 PM	
67	900	5	5	04/10/25 12:01:26 PM	
68	900	0	5	04/10/25 12:01:31 PM	
69	900	1	5	04/10/25 12:01:37 PM	
70	900	3	5	04/10/25 12:01:42 PM	
71	900	1	5	04/10/25 12:01:47 PM	
72	900	1	5	04/10/25 12:01:52 PM	
73	900	4	5	04/10/25 12:01:57 PM	
74	900	1	5	04/10/25 12:02:03 PM	
75	900	6	5	04/10/25 12:02:08 PM	
76	900	5	5	04/10/25 12:02:13 PM	
77	900	2	5	04/10/25 12:02:18 PM	
78	900	4	5	04/10/25 12:02:23 PM	
79	900	3	5	04/10/25 12:02:29 PM	
80	900	2	5	04/10/25 12:02:34 PM	
81	900	3	5	04/10/25 12:02:39 PM	
82	900	1	5	04/10/25 12:02:44 PM	
83	900	3	5	04/10/25 12:02:50 PM	
84	900	2	5	04/10/25 12:02:55 PM	
85	900	1	5	04/10/25 12:03:00 PM	
86	900	4	5	04/10/25 12:03:05 PM	
87	900	3	5	04/10/25 12:03:10 PM	
88	900	2	5	04/10/25 12:03:16 PM	
89	900	0	5	04/10/25 12:03:21 PM	
90	900	2	5	04/10/25 12:03:26 PM	
91	900	9	5	04/10/25 12:03:31 PM	
92	900	2	5	04/10/25 12:03:36 PM	
93	900	4	5	04/10/25 12:03:42 PM	
94	900	5	5	04/10/25 12:03:47 PM	
95	900	3	5	04/10/25 12:03:52 PM	
96	900	2	5	04/10/25 12:03:57 PM	
97	900	1	5	04/10/25 12:04:02 PM	
98	900	4	5	04/10/25 12:04:07 PM	
99	900	1	5	04/10/25 12:04:13 PM	
100	900	4	5	04/10/25 12:04:18 PM	
101	900	1	5	04/10/25 12:04:23 PM	
102	900	3	5	04/10/25 12:04:28 PM	
103	900	2	5	04/10/25 12:04:33 PM	
104	900	3	5	04/10/25 12:04:39 PM	
105	900	3	5	04/10/25 12:04:44 PM	
106	900	2	5	04/10/25 12:04:49 PM	
107	900	2	5	04/10/25 12:04:54 PM	
108	900	3	5	04/10/25 12:04:59 PM	
109	900	4	5	04/10/25 12:05:05 PM	
110	900	3	5	04/10/25 12:05:10 PM	
111	900	5	5	04/10/25 12:05:15 PM	
112	900	0	5	04/10/25 12:05:20 PM	
