Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1122	1	04/10/25 12:10:02 PM	
2	900	1131	1	04/10/25 12:10:04 PM	
3	900	1143	1	04/10/25 12:10:05 PM	
4	900	1108	1	04/10/25 12:10:06 PM	
5	900	1125	1	04/10/25 12:10:07 PM	
6	900	1165	1	04/10/25 12:10:08 PM	
7	900	1136	1	04/10/25 12:10:10 PM	
8	900	1174	1	04/10/25 12:10:11 PM	
9	900	1144	1	04/10/25 12:10:12 PM	
10	900	1160	1	04/10/25 12:10:13 PM	
11	900	1136	1	04/10/25 12:10:14 PM	
12	900	1132	1	04/10/25 12:10:16 PM	
13	900	1124	1	04/10/25 12:10:17 PM	
14	900	1153	1	04/10/25 12:10:18 PM	
15	900	1123	1	04/10/25 12:10:19 PM	
16	900	1124	1	04/10/25 12:10:20 PM	
17	900	1142	1	04/10/25 12:10:21 PM	
18	900	1163	1	04/10/25 12:10:23 PM	
19	900	1150	1	04/10/25 12:10:24 PM	
20	900	1141	1	04/10/25 12:10:25 PM	
21	900	1121	1	04/10/25 12:10:26 PM	
22	900	1160	1	04/10/25 12:10:28 PM	
23	900	1143	1	04/10/25 12:10:29 PM	
24	900	1140	1	04/10/25 12:10:30 PM	
25	900	1142	1	04/10/25 12:10:31 PM	
26	900	1163	1	04/10/25 12:10:33 PM	
27	900	1138	1	04/10/25 12:10:34 PM	
28	900	1126	1	04/10/25 12:10:35 PM	
29	900	1139	1	04/10/25 12:10:36 PM	
30	900	1165	1	04/10/25 12:10:37 PM	
31	900	1173	1	04/10/25 12:10:39 PM	
32	900	1127	1	04/10/25 12:10:40 PM	
33	900	1156	1	04/10/25 12:10:41 PM	
34	900	1160	1	04/10/25 12:10:42 PM	
35	900	1142	1	04/10/25 12:10:43 PM	
36	900	1138	1	04/10/25 12:10:45 PM	
37	900	1114	1	04/10/25 12:10:46 PM	
38	900	1138	1	04/10/25 12:10:47 PM	
39	900	1163	1	04/10/25 12:10:48 PM	
40	900	1153	1	04/10/25 12:10:49 PM	
41	900	1162	1	04/10/25 12:10:51 PM	
42	900	1162	1	04/10/25 12:10:52 PM	
43	900	1157	1	04/10/25 12:10:53 PM	
44	900	1148	1	04/10/25 12:10:54 PM	
45	900	1136	1	04/10/25 12:10:56 PM	
46	900	1142	1	04/10/25 12:10:57 PM	
47	900	1144	1	04/10/25 12:10:58 PM	
48	900	1123	1	04/10/25 12:10:59 PM	
49	900	1194	1	04/10/25 12:11:00 PM	
50	900	1137	1	04/10/25 12:11:02 PM	
51	900	1127	1	04/10/25 12:11:03 PM	
52	900	1155	1	04/10/25 12:11:04 PM	
53	900	1152	1	04/10/25 12:11:05 PM	
54	900	1137	1	04/10/25 12:11:06 PM	
55	900	1155	1	04/10/25 12:11:08 PM	
56	900	1169	1	04/10/25 12:11:09 PM	
57	900	1121	1	04/10/25 12:11:10 PM	
58	900	1147	1	04/10/25 12:11:11 PM	
59	900	1163	1	04/10/25 12:11:13 PM	
60	900	1178	1	04/10/25 12:11:14 PM	
61	900	1109	1	04/10/25 12:11:15 PM	
62	900	1167	1	04/10/25 12:11:16 PM	
63	900	1191	1	04/10/25 12:11:17 PM	
64	900	1130	1	04/10/25 12:11:19 PM	
65	900	1152	1	04/10/25 12:11:20 PM	
66	900	1151	1	04/10/25 12:11:21 PM	
67	900	1159	1	04/10/25 12:11:22 PM	
68	900	1153	1	04/10/25 12:11:23 PM	
69	900	1152	1	04/10/25 12:11:25 PM	
70	900	1156	1	04/10/25 12:11:26 PM	
71	900	1153	1	04/10/25 12:11:27 PM	
72	900	1147	1	04/10/25 12:11:28 PM	
73	900	1137	1	04/10/25 12:11:29 PM	
74	900	1170	1	04/10/25 12:11:31 PM	
75	900	1130	1	04/10/25 12:11:32 PM	
76	900	1161	1	04/10/25 12:11:33 PM	
77	900	1151	1	04/10/25 12:11:34 PM	
78	900	1149	1	04/10/25 12:11:35 PM	
79	900	1163	1	04/10/25 12:11:37 PM	
80	900	1119	1	04/10/25 12:11:38 PM	
81	900	1170	1	04/10/25 12:11:39 PM	
82	900	1141	1	04/10/25 12:11:40 PM	
83	900	1171	1	04/10/25 12:11:41 PM	
84	900	1149	1	04/10/25 12:11:43 PM	
85	900	1139	1	04/10/25 12:11:44 PM	
86	900	1165	1	04/10/25 12:11:45 PM	
