Description	
Number of Runs	0
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	17	30	04/10/25 12:32:51 PM	
2	900	6807	30	04/10/25 12:33:38 PM	
3	900	3991	30	04/10/25 12:34:24 PM	
4	900	2625	30	04/10/25 12:34:59 PM	
5	900	1906	30	04/10/25 12:35:35 PM	
6	900	1338	30	04/10/25 12:36:13 PM	
7	900	1037	30	04/10/25 12:36:53 PM	
8	900	832	30	04/10/25 12:37:28 PM	
9	900	681	30	04/10/25 12:38:04 PM	
10	900	589	30	04/10/25 12:38:39 PM	
11	900	477	30	04/10/25 12:39:14 PM	
